2023:03:26 21:45:37.313 INFO  --- [main] c.s.b.s.SpringbootApplication : Starting SpringbootApplication using Java 11.0.14 on soyoungui-MacBookPro.local with PID 24096 (/Users/sy_choi/IntelliJ-workspace/1_web/springboot/build/classes/java/main started by sy_choi in /Users/sy_choi/IntelliJ-workspace/1_web/springboot) 
2023:03:26 21:45:37.319 INFO  --- [main] c.s.b.s.SpringbootApplication : No active profile set, falling back to 1 default profile: "default" 
2023:03:26 21:45:38.796 WARN  --- [main] o.s.b.c.c.ConfigDataEnvironment : Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 41:18] 
2023:03:26 21:45:38.797 WARN  --- [main] o.s.b.c.c.ConfigDataEnvironment : Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 29:18] 
2023:03:26 21:45:38.797 WARN  --- [main] o.s.b.c.c.ConfigDataEnvironment : Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 17:18] 
2023:03:26 21:45:39.526 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$10a67daa] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2023:03:26 21:45:39.608 INFO  --- [main] o.s.w.s.a.s.AnnotationActionEndpointMapping : Supporting [WS-Addressing August 2004, WS-Addressing 1.0] 
2023:03:26 21:45:39.820 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http) 
2023:03:26 21:45:39.827 INFO  --- [main] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2023:03:26 21:45:39.827 INFO  --- [main] o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.71] 
2023:03:26 21:45:39.913 INFO  --- [main] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2023:03:26 21:45:39.915 INFO  --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1117 ms 
2023:03:26 21:45:40.061 INFO  --- [main] o.s.b.web.servlet.RegistrationBean : Filter webFilter was not registered (possibly already registered?) 
2023:03:26 21:45:40.576 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path '' 
2023:03:26 21:45:40.589 INFO  --- [main] c.s.b.s.SpringbootApplication : Started SpringbootApplication in 3.892 seconds (JVM running for 4.701) 
2023:03:26 21:46:26.159 INFO  --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet' 
2023:03:26 21:46:26.162 INFO  --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet' 
2023:03:26 21:46:26.164 INFO  --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet : Completed initialization in 2 ms 
2023:03:26 21:46:26.188 INFO  --- [http-nio-8080-exec-1] c.s.b.s.logging.LoggingController : info log = spring boot logging test 
2023:03:26 21:46:26.190 WARN  --- [http-nio-8080-exec-1] c.s.b.s.logging.LoggingController : warn log = spring boot logging test 
2023:03:26 21:46:26.190 ERROR --- [http-nio-8080-exec-1] c.s.b.s.logging.LoggingController : error log = spring boot logging test 
2023:03:26 21:46:26.226 ERROR --- [http-nio-8080-exec-2] c.s.b.s.e.c.CustomErrorController : error 
